VOTI DI COMPLESSITA'   appello 06 Luglio 2023

matricola,voto
VR445659,22
VR465463,19
VR489361,21
VR478050,23
VR487700,27
VR487584,18
VR496684,18
VR450977,18
VR472965,27
VR496214,18
