VOTI DI COMPLESSITA'   appello 1 Luglio 2021

matricola,voto
VR460384,28
VR465826,24
VR432548,28
VR424289,20
VR458629,22
VR451275,21
VR457336,24
VR439664,21
VR461066,26
VR466426,21
VR458470,21
VR450496,18
VR462541,18
