VOTI DI COMPLESSITA'   appello 22 Giugno 2023

matricola	voto
VR478828	28
VR445659	18
VR472066	18	
VR474098	19
VR489133	24
VR478827	18
VR472646	23
VR486293	26
VR463656	20
VR473579	20
VR496918	24	
VR489415	33
VR487700	18
VR475440	24
VR491230	25
VR488110	24
VR463860	22
VR445780	23
VR480952	22	
VR486359	24
VR487699	18
