VOTI DI COMPLESSITA'   appello 17 GIUGNO 2024

matricola,voto
VR447269,30
VR511437,28
VR508279,26
VR504272,26
VR504743,25
VR503110,24
VR504159,24
VR481316,23
VR509097,23
VR503057,23
VR500859,20	
VR508570,20
VR488052,20
VR477448,18
VR504878,18
VR501577,18
