VOTI DI COMPLESSITA'   appello 13 Giugno 2022

matricola       voto
VR459645        24
VR458382	22
VR457915	20
VR474721	20
VR472108        18
VR477235	30
VR473639	28
VR472021	22
VR474723	28
VR476576	25
VR479912	20
VR474539	24
VR472058	27
VR474528	26
VR475103	18
VR476706	22
VR450781	22
VR472500	20
VR481889	24
VR472361	27
VR456970	20
VR456924	29
VR474275	27
VR473852	24
VR472006	29
VR474022	27
VR473614	24
