VOTI DI COMPLESSITA'   appello 23 Luglio 2018

matricola        voto
VR419552         18
VR394409         26
VR406665         18
VR417455         21
VR424142         24
VR418467         22
VR420117         24
VR418380         22
VR421147         21
VR419702         22
VR419616         28
VR424707         23
VR425437         28
VR418645         18
VR425018         30
VR422410         24
VR421889         24
VR413607         27
VR411086         23
