VOTI DI COMPLESSITA'   appello 6 Luglio 2026

matricola,voto
VR536965,24
VR513300,20
VR542020,23
VR545386,28
VR544148,25
VR536984,23
VR537386,28
VR545815,29
VR516026,27
VR545380,28
