VOTI DI COMPLESSITA'   appello 21 Settembre 2018

matricola,voto
VR420283,27
VR400386,18
VR413731,18
VR424987,24
VR420818,26
VR414657,23
VR406704,18
VR406840,26
VR423950,21
VR417714,25
VR419703,30
