VOTI DI COMPLESSITA'   appello 21 Giugno 2016

matricola,voto
VR388474,22
VR403908,24
VR383667,19
VR380278,26
VR398351,18
VR383601,18
VR389759,27
VR397770,24
VR369400,22
VR400003,24
