VOTI DI COMPLESSITA'   appello 05 Luglio 2016

matricola             voto
VR400003              27
VR403908              27
VR386217              25
VR387700              24
VR403761              22
VR401981              21
VR382213              20
VR386641              20
VR365989              18
VR389925              18
VR398522              18

