VOTI DI COMPLESSITA'   appello 19 Giugno 2017

matricola,voto
VR400176,18
VR409182,28
VR397753,28
VR413225,27
VR405372,21
VR399750,25
VR406936,30
VR389983,20
VR403821,29
VR403074,21
VR407935,25
VR408256,28
VR407143,18
VR386945,20
VR410588,20
VR402091,19
