VOTI DI ALGORITMI - appello del 23 Giugno 2023

matricola,voto_platino,voto_appello
VR489415,24,33
VR472965,24,26
VR445659,24,24
VR462541,24,24
VR486293,24,24
VR450977,13,13
VR473579, 0,13
VR496214,11,11
VR472066,11,11
VR465463,11,11
VR481889, 0,10

