VOTI DI ALGORITMI - appello del 15 Settembre 2023

matricola,voto_platino,voto_appello
VR445780,0,2
VR451169,0,0
VR463860,0,0
VR472433,0,0
VR472646,0,0
VR473579,0,0
VR474022,0,0
VR474098,25,25
VR475346,0,0
VR478050,0,1
VR478827,0,22
VR478828,25,26
VR479096,0,0
VR480934,0,0
VR480952,0,0
VR486291,0,0
VR487584,0,1
VR487700,0,0
VR488110,0,0
VR489524,0,2
VR491230,0,0
VR496214,0,0
