+----------+--------------+----------+--------------+------+
| Student  | voto_argento | voto_oro | voto_platino | voto |
+----------+--------------+----------+--------------+------+
| VR516307 |      33      |    33    |      15      |  33  |
| VR519027 |      33      |    33    |      15      |  33  |
| VR516349 |      33      |    33    |      15      |  33  |
| VR519407 |      33      |    33    |      15      |  33  |
| VR516306 |      33      |    22    |      0       |  33  |
| VR522244 |      33      |    22    |      0       |  33  |
| VR516333 |      33      |    22    |      0       |  33  |
| VR518747 |      33      |    21    |      0       |  33  |
| VR517045 |      33      |    10    |      0       |  33  |
| VR496684 |      33      |    24    |      15      |  33  |
| VR504242 |      29      |    26    |      15      |  31  |
| VR519443 |      24      |    22    |      0       |  30  |
| VR517644 |      29      |    26    |      15      |  30  |
| VR508570 |      29      |    26    |      15      |  30  |
| VR526625 |      29      |    26    |      15      |  30  |
| VR518695 |      27      |    24    |      15      |  27  |
| VR524824 |      24      |    16    |      15      |  27  |
| VR519412 |      21      |    19    |      0       |  25  |
| VR527619 |      25      |    11    |      0       |  24  |
| VR527181 |      21      |    19    |      0       |  24  |
| VR517646 |      19      |    9     |      0       |  23  |
| VR518275 |      22      |    20    |      0       |  22  |
| VR519716 |      9       |    8     |      0       |  15  |
| VR487734 |      11      |    10    |      0       |  15  |
| VR525865 |      11      |    10    |      0       |  13  |
| VR519814 |      11      |    10    |      0       |  13  |
| VR451169 |      11      |    10    |      0       |  12  |
| VR527312 |      10      |    9     |      0       |  11  |
| VR501256 |      0       |    0     |      0       |  1   |
| VR517636 |      0       |    0     |      0       |  0   |
+----------+--------------+----------+--------------+------+
