VOTI DI ALGORITMI - appello del 26 settembre 2018

matricola	hanoi_puzzle_reset	pacman		attract		totale		voto

VR394409		25.0		20.0		0.0		45.0		23		
VR400386		0.0		20.0		0.0		20.0		20		
VR406832		0.0		0.0		10.0		10.0		18		
VR407230		0.0		0.0		0.0		0.0		-		
VR407837		0.0		0.0		0.0		0.0		-		
VR407847		0.0		0.0		0.0		0.0		-		
VR408239		0.0		20.0		0.0		20.0		20		
VR409182		0.0		0.0		0.0		0.0		-		
VR409637		0.0		0.0		0.0		0.0		-		
VR410075		0.0		0.0		0.0		0.0		-		
VR411086		0.0		0.0		0.0		0.0		-		
VR411577		0.0		100.0		0.0		100.0		28		
VR413467		0.0		0.0		0.0		0.0		-		
VR413877		0.0		40.0		0.0		40.0		22		
VR414626		0.0		0.0		0.0		0.0		-		
VR417714		15.0		40.0		10.0		65.0		25		
VR418380		15.0		0.0		0.0		15.0		19		
VR418467		25.0		40.0		25.0		90.0		27		
VR418645		0.0		0.0		0.0		0.0		-		
VR418768		0.0		40.0		0.0		40.0		22		
VR419702		25.0		40.0		10.0		75.0		26		
VR419703		0.0		0.0		0.0		0.0		-		
VR420283		0.0		0.0		0.0		0.0		-		
VR421197		25.0		40.0		10.0		75.0		26		
VR422410		0.0		0.0		0.0		0.0		-		
VR423614		25.0		40.0		10.0		75.0		26		
VR423652		0.0		0.0		0.0		0.0		-		
VR423791		25.0		40.0		10.0		75.0		26		
VR424222		0.0		0.0		0.0		0.0		-		
VR424505		0.0		0.0		0.0		0.0		-		
VR424649		0.0		20.0		10.0		30.0		21		
VR424867		25.0		40.0		0.0		65.0		25		
VR424987		25.0		40.0		10.0		75.0		26		
VR425328		0.0		0.0		0.0		0.0		-		
