VOTI DI ALGORITMI - appello 8 Febbraio 2024

matricola,voto_platino,voto_appello
VR445780,0,0
VR448249,0,0
VR465317,0,0
VR474379,0,0
VR478050,0,18
VR478827,0,0
VR480934,21,29
VR480952,0,6
VR486291,21,28
VR487564,0,0
VR487584,19,24
VR488110,0,9
VR489524,0,4
VR496214,0,15
