VOTI DI ALGORITMI - appello del 13 giugno 2016
(a questi voti va aggiunto eventuale bonus per progetti od altro)

matricola,somme,rangetree2,maree,totale,voto
VR365989,0.0,40.0,0.0,40.0,15
VR380278,25.0,0.0,79.0,104.0,22
VR382213,0.0,40.0,0.0,40.0,15
VR383370,0.0,40.0,0.0,40.0,15
VR383978,10.0,0.0,0.0,10.0,-
VR386641,25.0,40.0,79.0,144.0,27
VR387955,10.0,40.0,0.0,50.0,17
VR389925,0.0,15.0,0.0,15.0,-
VR390202,0.0,40.0,0.0,40.0,15
VR397209,25.0,40.0,0.0,65.0,18
VR397444,5.0,40.0,5.0,50.0,17
VR397445,10.0,100.0,0.0,110.0,23
VR397505,0.0,40.0,5.0,45.0,16
VR397770,0.0,40.0,5.0,45.0,16
VR398313,0.0,40.0,0.0,40.0,15
VR398351,0.0,40.0,0.0,40.0,15
VR398522,25.0,100.0,0.0,125.0,25
VR399591,5.0,100.0,0.0,105.0,22
VR399750,5.0,0.0,0.0,5.0,-
VR399891,5.0,40.0,0.0,45.0,16
VR400003,0.0,40.0,0.0,40.0,15
VR400176,25.0,40.0,0.0,65.0,18
VR400386,0.0,30.0,0.0,30.0,14
VR401950,5.0,0.0,0.0,5.0,-
VR402091,0.0,40.0,62.0,102.0,22
VR402666,10.0,40.0,100.0,150.0,28
VR403280,25.0,40.0,0.0,65.0,18
VR403435,0.0,40.0,79.0,119.0,24
VR403761,25.0,40.0,0.0,65.0,18
VR403851,25.0,35.0,100.0,160.0,29
VR403852,0.0,30.0,79.0,109.0,23
VR403908,25.0,40.0,0.0,65.0,18
VR404236,20.0,40.0,5.0,65.0,18
VR404258,0.0,40.0,0.0,40.0,15
VR404713,25.0,40.0,79.0,144.0,27
VR405372,5.0,40.0,0.0,45.0,16


MAP:

Sotto i 30 punti nessun voto (non potete avvalervi di punti bonus)
30-->14/30
40-->15/30
45-->16/30
50-->17/30
65-->18/30
102-->22/30
104-->22/30
105-->22/30
109-->23/30
110-->23/30
119-->24/30
125-->25/30
144-->27/30
150-->28/30
160-->29/30

Note sui voti esame:
1. Sotto i 30 punti non si e' maturato alcun voto (non potete avvalervi di punti bonus)
2. Se sommati i punti bonus non viene comunque raggiunto il 18 devi necessariamente riprovare l'esame di parte Algoritmi
3. Non puoi chiedere registrazione del voto finale (la media tra il voto di Algoritmi e quello di Complessità) senza avere raggiunto almeno 18 su ciascuno dei due moduli.

Nota sui voti modulo Algoritmi:
1. A questi voti va aggiunto eventuale bonus per progetti od altro.

Note su registrazione voto finale Algoritmi e Complessità:
1. Quando vorrai chiudere e concretizzare in voto il tuo percorso in Algoritmi e Complessità, sarà tua cura farmi avere tutti i riferimenti a quanto nel tuo portafoglio voti nella mail che mi scriverai per richiedere la registrazione finale per Algoritmi e Complessità. Potresti ad esempio riferirti al presente file.
2. Trovi un possibile modello per la mail di richiesta registrazione voto al sito:
    http://profs.sci.univr.it/~rrizzi/classes/Algoritmi/modExam/modExam.html

   Consiglio di partire da questo modello di mail, ma poi fa piacere scriviate anche fuori dalle righe, arrivateci insomma belli freschi come da vostre necessità ma non fraschi (non omettete i precisi rifermineti di contesto necessari al processare la vostra richiesta).
